Unet,UnetPlusPlus,Linknet,FRPN,PSPNet,PAN,DEEPLabV3,DeepLabV3Plus
densenet121,ImageNet + MicroNet,MicroNet,,,,,
densenet161,ImageNet + MicroNet,MicroNet,,,,,
densenet169,ImageNet + MicroNet,MicroNet,,,,,
densenet201,ImageNet + MicroNet,MicroNet,,,,,
dpn107,ImageNet + MicroNet,MicroNet,,,,,
dpn131,ImageNet + MicroNet,MicroNet,,,,,
dpn68,ImageNet + MicroNet,MicroNet,,,,,
dpn68b,ImageNet + MicroNet,MicroNet,,,,,
dpn92,ImageNet + MicroNet,MicroNet,,,,,
dpn98,ImageNet + MicroNet,MicroNet,,,,,
efficientnet-b0,ImageNet + MicroNet,MicroNet,,,,,
efficientnet-b1,ImageNet + MicroNet,MicroNet,,,,,
efficientnet-b2,ImageNet + MicroNet,MicroNet,,,,,
efficientnet-b3,ImageNet + MicroNet,MicroNet,,,,,
efficientnet-b4,ImageNet + MicroNet,MicroNet,,,,,
efficientnet-b5,ImageNet + MicroNet,MicroNet,,,,,
efficientnet-b6,MicroNet,,,,,,
efficientnet-b7,MicroNet,,,,,,
inceptionresnetv2,ImageNet + MicroNet,MicroNet,,,,,
inceptionv4,ImageNet + MicroNet,MicroNet,,,,,
mobilenet_v2,ImageNet + MicroNet,MicroNet,,,,,
resnet101,ImageNet + MicroNet,MicroNet,,,,,
resnet152,ImageNet + MicroNet,MicroNet,,,,,
resnet18,ImageNet + MicroNet,MicroNet,,,,,
resnet34,ImageNet + MicroNet,MicroNet,,,,,
resnet50,ImageNet + MicroNet,MicroNet,,,,,
resnext101_32x8d,ImageNet + MicroNet,MicroNet,,,,,
resnext50_32x4d,ImageNet + MicroNet,MicroNet,,,,,
se_resnet101,ImageNet + MicroNet,MicroNet,,,,,
se_resnet152,ImageNet + MicroNet,MicroNet,,,,,
se_resnet50,ImageNet + MicroNet,MicroNet,,,,,
se_resnext101_32x4d,ImageNet + MicroNet,MicroNet,,,,,
se_resnext50_32x4d,ImageNet + MicroNet,MicroNet,,,,,
senet154,ImageNet + MicroNet,MicroNet,,,,,
vgg11_bn,ImageNet + MicroNet,MicroNet,,,,,
vgg11,MicroNet,,,,,,
vgg13_bn,ImageNet + MicroNet,MicroNet,,,,,
vgg13,MicroNet,,,,,,
vgg16_bn,ImageNet + MicroNet,MicroNet,,,,,
xception,ImageNet + MicroNet,MicroNet,,,,,
